client_id,marks,time,mark
1046149,1,18.44,0
1048198,5,70.55,1
1059397,5,90.87,1
1028994,4,110.48,1
1061144,1,11.38,0
1048205,4,121.77,1
1061016,5,97.6,1
1057079,4,97.31,1
1051956,5,78.5,1
1048320,2,70.17,0
1061002,5,87.97,1
1048604,2,108.19,0
1045815,4,68.18,1
1056229,5,79.02,1
1048126,5,67.27,1
1058835,5,57.05,1
1049511,5,29.42,1
1034555,4,70.13,1
1055014,5,53.24,1
1028730,5,47.34,1
1045649,5,63.72,1
1051007,5,63.38,1
1045185,5,16.82,1
1054810,4,92.12,1
1005154,2,57.79,0
1058691,5,97.81,1
1052615,4,93.44,1
1058127,5,118.31,1
1057306,5,84.47,1
1058009,4,77.69,1
1050784,5,88.69,1
1049971,4,63.38,1
1047770,2,59.14,0
1056738,5,39.32,1
1059309,1,20.99,0
1046694,5,21.79,1
1045372,5,107.79,1
1051617,4,32.41,1
1052029,5,87.42,1
1058730,5,83.08,1
1056144,5,72.34,1
1059927,3,60.55,0
1058313,5,95.69,1
1054064,5,57.62,1
1060613,5,36.86,1
1052906,4,46.58,1
1047878,2,52.17,0
1010471,2,24.78,0
1058880,5,72.28,1
1057420,5,56.03,1
1060055,5,70.13,1
1061910,1,9.26,0
1060832,5,36.57,1
1052148,2,53.61,0
1057251,5,106.14,1
1055647,5,22.14,1
1033008,3,95.98,0
1050479,2,72.68,0
1022494,2,57.61,0
1048697,5,43.05,1
1003078,5,90.64,1
1047974,1,20.05,0
1058331,5,71.3,1
1029117,4,107.89,1
1060454,3,110.38,0
1053197,5,92.58,1
1054008,5,58.05,1
1050816,4,91.04,1
1048339,4,84.19,1
1055107,2,70.08,0
1053876,2,94.57,0
1051907,2,21.74,0
1042060,4,91.64,1
1058426,4,8.82,1
1052261,5,84.63,1
1058592,1,13.44,0
1054139,2,13.04,0
1002413,4,31.7,1
1052384,5,50.02,1
1055380,2,58.25,0
1053669,1,17.36,0
1057871,5,39.35,1
1035303,4,12.59,1
1048432,2,41.39,0
1051500,4,76.48,1
1055195,4,78.64,1
1051206,5,63.5,1
1060737,2,69.61,0
1061577,5,82.58,1
1048174,1,20.49,0
1049328,5,36.93,1
1047511,4,34.61,1
1059774,1,21.56,0
1045028,5,59.47,1
1054615,5,69.22,1
1054554,5,73.16,1
1056601,5,79.58,1
1062113,5,45.03,1
1048480,4,32.61,1
1046666,4,49.45,1
1048034,5,70.29,1
1055314,5,39.83,1
1049728,4,66.01,1
1055606,5,107.23,1
1046239,5,45.71,1
1050778,2,72.82,0
1050124,5,68.18,1
1049526,5,79.24,1
1057199,5,95.7,1
1048202,4,85.87,1
1041078,5,51.8,1
1048565,5,81.54,1
1056360,5,97.32,1
1053523,1,13.1,0
1054124,2,112.39,0
1060922,4,26.02,1
1047911,5,57.96,1
1053314,5,72.93,1
1055928,2,59.09,0
1040499,5,35.75,1
1058478,5,36.53,1
1050322,2,16.51,0
1009196,4,100.32,1
1050046,4,33.78,1
1059244,1,19.86,0
1046684,5,56.12,1
1006346,5,85.78,1
1047722,2,57.61,0
1051223,5,56.91,1
1026880,2,45.4,0
1058153,5,52.58,1
1056687,1,12.8,0
1058033,1,18.53,0
1022184,5,113.64,1
1000774,5,50.85,1
1058595,4,99.78,1
1045901,4,24.19,1
1053103,5,71.5,1
1046617,5,149.82,1
1055203,1,14.79,0
1057760,4,109.65,1
1021084,5,76.51,1
1050436,5,46.51,1
1055556,1,14.67,0
1044566,5,32.05,1
1051635,4,91.05,1
1053223,5,65.4,1
1049245,2,10.68,0
1054850,4,68.56,1
1046725,5,51.77,1
1052566,3,14.19,0
1042232,2,74.15,0
1051316,5,131.07,1
1053458,5,43.03,1
1057710,4,91.76,1
1048045,4,107.88,1
1054321,4,54.64,1
1061903,4,73.35,1
1049318,4,87.01,1
1048508,2,75.49,0
1057493,5,56.44,1
1030553,5,79.91,1
101461,2,53.8,0
1047590,2,81.4,0
1040946,5,58.7,1
1047792,5,64.86,1
1039535,5,67.29,1
1054709,4,29.06,1
1058543,3,39.86,0
1057334,5,86.05,1
1048817,5,51.11,1
1044135,5,56.34,1
1050150,5,45.07,1
1052005,5,63.93,1
1055162,5,58.44,1
1047547,4,68.22,1
1057490,5,70.41,1
1042993,5,84.25,1
1047359,5,50.95,1
1031823,1,11.38,0
1047545,4,63.47,1
1051910,1,19.96,0
1052836,1,11.45,0
1045186,5,40.64,1
1049314,5,28.85,1
1045675,5,42.15,1
1052109,4,84.38,1
1052152,4,81.17,1
1047236,5,43.43,1
1048340,5,109.76,1
1058724,1,13.99,0
1053578,2,20.64,0
1049267,4,104.64,1
1054284,3,53.94,0
1052153,4,86.37,1
1060126,3,64.39,0
1059136,5,57.56,1
1061112,4,28.97,1
1055549,5,56.39,1
1019720,5,82.37,1
1055814,1,15.06,0
1049951,2,96.58,0
1053239,4,78.3,1
1049898,2,20.69,0
1048406,5,115.69,1
1025867,4,27.94,1
1059300,5,85.37,1
1041735,5,72.61,1
1056553,4,43.89,1
1056593,5,74.75,1
1050529,5,88.37,1
1055298,2,35.8,0
1054461,5,56.73,1
1050882,2,89.67,0
1012832,2,85.71,0
100665,2,39.66,0
1060661,5,32.34,1
1048977,4,55.74,1
1056564,5,33.3,1
1043959,4,75.34,1
1052396,5,62.88,1
1061044,5,45.35,1
1049513,3,29.56,0
1050315,4,18.92,1
1057625,4,96.21,1
1049925,5,44.58,1
1047518,4,103.99,1
1060219,5,54.01,1
1060984,5,73.06,1
1050991,4,13.17,1
1057510,2,83.92,0
1062228,5,36.07,1
1053987,1,14.69,0
1052043,5,121.84,1
1058281,5,80.19,1
1055850,3,4.4,0
1061706,5,102.54,1
1052171,2,74.11,0
1053835,4,54.96,1
1009685,5,54.57,1
1042394,3,67.86,0
1051039,2,64.11,0
1052240,5,92.26,1
1019866,5,110.32,1
1058097,4,53.37,1
1055785,5,97.41,1
1052132,5,63.22,1
1053493,2,56.94,0
1046393,2,42.69,0
1035421,5,50.91,1
1023306,5,86.55,1
1056767,4,90.93,1
1048887,4,40.76,1
1020677,5,71.15,1
1052846,3,98.7,0
1047427,5,84.21,1
1048668,4,80.6,1
1047585,3,72.07,0
1003436,4,49.51,1
1059134,5,70.72,1
1021922,4,12.25,1
1051998,1,11.8,0
1056139,1,20.31,0
1051527,4,72.54,1
1049211,4,47.28,1
1049981,4,69.26,1
1062267,5,44.51,1
1015713,5,80.99,1
1054634,3,89.0,0
1021453,4,72.1,1
1060156,2,65.81,0
1044810,2,35.06,0
1059008,5,45.59,1
1061878,2,63.37,0
1022533,4,114.14,1
1052758,5,73.01,1
1059569,5,45.53,1
1054779,1,13.46,0
1053756,5,75.55,1
1014828,4,73.04,1
1056218,5,109.71,1
1014109,5,69.2,1
1051290,3,59.5,0
1051378,2,39.43,0
1056200,4,84.36,1
1054874,2,24.29,0
1055534,5,33.3,1
1051491,5,90.05,1
1036537,3,55.49,0
1047916,2,51.13,0
1050227,5,58.34,1
1055175,3,55.23,0
1061735,5,50.49,1
1003721,5,92.58,1
1046405,1,16.76,0
1042972,5,27.57,1
1048675,1,10.95,0
1043843,5,56.15,1
1056699,3,153.87,0
1052327,5,86.54,1
101181,5,73.85,1
1047562,5,53.52,1
1054337,5,42.41,1
1052135,2,66.52,0
1055378,5,50.02,1
1010958,5,53.6,1
1052622,2,126.06,0
1059264,5,80.42,1
1051726,5,42.8,1
1061570,5,67.54,1
1015702,5,32.11,1
1046225,4,35.46,1
1056411,5,116.39,1
1053365,3,39.28,0
1049038,1,19.8,0
1052372,5,39.57,1
1046840,5,116.43,1
1061908,5,103.91,1
1055037,5,45.25,1
1012481,5,29.27,1
1052764,5,106.08,1
1057247,2,57.3,0
1045950,2,30.32,0
1050555,2,58.51,0
1055760,5,53.64,1
1059099,3,76.31,0
1051633,5,90.94,1
1044818,5,97.42,1
1027394,2,49.9,0
1058282,5,35.07,1
1032407,5,57.35,1
1054658,5,7.01,1
1048270,5,111.17,1
1051221,4,7.94,1
1055041,5,64.43,1
1062075,5,41.0,1
1048321,4,85.74,1
1006832,2,89.26,0
1051214,4,50.85,1
1057254,2,45.38,0
1045123,2,23.53,0
1049118,2,59.13,0
1040095,5,74.96,1
1059165,1,15.86,0
1049066,2,118.91,0
1055078,4,53.9,1
1026870,2,84.18,0
1056061,3,100.71,0
1055145,2,60.23,0
1052894,5,23.93,1
1059346,5,20.02,1
1053145,4,13.99,1
1049189,4,48.92,1
1060433,5,83.61,1
1023940,5,35.98,1
1045662,5,45.8,1
1051166,3,21.07,0
1050915,5,82.63,1
1054885,5,29.08,1
1057689,5,3.25,1
1049128,5,36.62,1
1058798,3,53.16,0
1057245,3,72.1,0
1018967,5,70.9,1
1059725,4,62.5,1
1040728,5,2.47,1
1059431,4,13.38,1
1056212,1,10.76,0
1058641,3,92.46,0
1050951,5,67.36,1
1048164,5,82.37,1
1057090,5,77.4,1
1057302,5,66.6,1
1061389,4,87.26,1
1046084,5,84.16,1
1035152,2,64.07,0
1052255,5,57.75,1
1029308,4,151.35,1
1043415,5,46.5,1
1049950,3,26.12,0
1058424,5,34.24,1
1043245,5,61.33,1
1016325,2,75.37,0
1053580,2,31.75,0
1054465,5,92.85,1
1036759,2,93.82,0
1048899,1,11.03,0
1061176,2,35.33,0
1052551,5,97.56,1
1055696,4,19.85,1
1059253,5,70.54,1
1003421,1,24.63,0
1048211,2,54.39,0
1059086,5,35.62,1
1050017,2,61.5,0
1056680,1,8.84,0
1054604,5,69.88,1
1055336,1,15.1,0
1038101,4,31.36,1
1053395,1,19.2,0
1014259,4,37.22,1
1008692,5,14.07,1
1048058,1,18.87,0
1051371,5,54.25,1
1049722,5,86.22,1
1039621,2,52.7,0
1054169,5,40.9,1
1046990,5,57.63,1
1058351,3,62.04,0
1055916,5,100.91,1
1057667,5,20.16,1
1018900,2,48.45,0
1057476,4,105.48,1
1018047,2,41.38,0
1048939,2,56.62,0
1056182,5,108.12,1
1054252,2,115.22,0
1049903,3,53.51,0
1046202,5,0.75,1
1054477,4,30.31,1
1052546,4,59.71,1
1050769,4,33.05,1
1044151,4,21.91,1
1055017,5,79.13,1
1052078,1,10.37,0
1060525,5,29.76,1
1047709,4,88.3,1
1045553,5,51.77,1
1051322,5,89.4,1
1051709,1,13.8,0
1014474,5,98.95,1
1048598,1,11.18,0
1061589,4,31.01,1
1057617,5,68.18,1
1022538,2,94.0,0
1018429,2,41.11,0
1052675,4,27.54,1
1056150,4,36.99,1
1051436,4,20.39,1
1055257,5,91.87,1
1056314,5,11.79,1
1058182,4,28.01,1
1053897,5,69.59,1
1058386,2,25.84,0
1057504,5,41.34,1
1054926,3,36.24,0
1043978,1,15.28,0
1050301,4,76.38,1
1043069,3,77.44,0
1061279,5,13.84,1
1038571,5,17.49,1
1054742,4,57.37,1
1057702,5,57.05,1
1056487,5,40.9,1
1036569,1,2.12,0
1007007,3,62.59,0
1050992,4,21.39,1
1053915,5,85.14,1
1056181,5,67.16,1
1048360,5,85.82,1
1047753,5,47.21,1
1047880,5,114.63,1
1047978,2,23.97,0
1042860,3,67.2,0
1048677,2,94.33,0
1049872,4,72.01,1
1049515,5,107.13,1
1047780,4,88.05,1
1057146,1,8.27,0
1037419,5,61.97,1
1045623,1,5.91,0
1046467,5,49.45,1
1053850,5,86.86,1
1057184,4,54.65,1
1047309,5,80.99,1
1056775,4,43.67,1
1056101,1,18.02,0
1046800,3,110.51,0
1061380,5,42.24,1
1053823,4,96.53,1
1059166,5,23.56,1
1060695,2,56.81,0
1047286,4,84.58,1
1057502,5,58.08,1
1047679,1,11.43,0
1050923,5,135.04,1
1043798,3,58.1,0
1049583,2,44.14,0
1000047,4,59.37,1
1058375,4,73.98,1
1055139,5,80.71,1
1061590,5,31.77,1
1053659,3,35.69,0
1048245,4,93.07,1
1052897,5,58.36,1
1021402,3,89.55,0
1045281,5,66.72,1
1014657,5,73.24,1
1051694,1,24.15,0
1049655,2,97.22,0
1023725,3,90.78,0
1060719,5,152.83,1
1058077,5,53.64,1
1034377,5,20.92,1
1055960,5,115.04,1
1051067,1,10.92,0
1061492,3,72.77,0
1059775,5,76.85,1
1010795,2,86.21,0
1052838,1,12.47,0
1059336,2,88.13,0
1056984,2,61.16,0
1048361,3,107.02,0
1020247,4,80.12,1
1055281,5,81.84,1
1044612,4,48.91,1
1058514,5,67.55,1
1040834,5,47.09,1
1047115,5,77.6,1
1052772,5,26.03,1
1042445,5,62.21,1
1047969,1,11.67,0
1053242,5,38.0,1
1046930,5,81.51,1
1056459,4,40.57,1
1045566,5,53.43,1
1047257,5,88.77,1
1047302,5,15.25,1
1057357,4,34.0,1
1051342,5,78.41,1
1044583,5,52.15,1
1045573,5,56.15,1
1009289,3,67.25,0
1037754,2,83.92,0
1052179,4,92.8,1
1048877,2,76.24,0
1060119,5,54.99,1
1057598,1,14.09,0
1054861,2,40.05,0
1051400,5,50.35,1
1049127,2,62.0,0
1047519,5,14.6,1
1049742,4,71.3,1
1054014,5,138.31,1
1056832,2,50.13,0
1052711,1,19.56,0
1051058,5,75.19,1
1047828,5,51.39,1
1057722,5,136.99,1
1059528,4,60.16,1
1020451,2,88.42,0
1048635,5,80.08,1
1025759,5,57.15,1
1047097,5,102.29,1
1061264,4,93.09,1
1048489,2,15.65,0
1048089,5,92.59,1
1041996,3,96.53,0
1057571,4,42.66,1
1055842,5,53.89,1
1051060,5,69.46,1
1053776,5,77.4,1
1023024,2,51.02,0
1059534,4,38.56,1
1055670,2,31.43,0
1052139,2,78.11,0
1057895,5,53.57,1
1054822,5,77.47,1
1051125,1,15.13,0
1060458,4,79.91,1
1050804,5,22.73,1
1048946,1,21.76,0
1057447,5,16.68,1
1047972,4,67.54,1
1053400,5,46.97,1
1055953,4,57.85,1
1047406,4,65.06,1
1053102,4,68.57,1
1049874,1,9.37,0
1058674,5,83.75,1
1043285,5,48.66,1
1053991,1,11.2,0
1047314,5,20.39,1
1048531,5,47.8,1
1055184,4,100.64,1
1052295,3,91.34,0
1048299,5,54.86,1
1056552,2,132.86,0
1053205,4,43.67,1
1058773,2,29.0,0
1054892,5,51.12,1
1050612,5,79.61,1
1051697,4,37.34,1
1051811,5,78.45,1
1053206,4,68.12,1
1059382,5,56.27,1
1030704,4,85.48,1
1042631,1,9.96,0
1054915,4,110.99,1
1044349,4,60.08,1
1046519,3,72.13,0
1045669,4,70.84,1
1058565,1,16.16,0
1048857,1,16.45,0
1026224,2,63.29,0
1055612,5,92.46,1
1025372,5,81.47,1
1052830,5,106.57,1
1047844,5,90.79,1
1059883,1,13.96,0
1036814,4,39.82,1
1062138,4,73.33,1
1055618,5,54.91,1
1051959,5,27.07,1
1044998,3,61.2,0
1050702,5,27.64,1
1048771,2,71.95,0
1047683,5,82.53,1
1059935,5,87.25,1
1051418,2,48.11,0
1049762,4,43.48,1
1043637,5,68.23,1
1053051,3,30.79,0
1055843,5,51.85,1
1058795,2,34.96,0
1052631,5,104.31,1
1061070,2,34.18,0
1055701,5,46.48,1
1060747,5,132.86,1
1047831,1,11.39,0
1060235,5,82.1,1
1043734,5,52.86,1
1047441,5,59.11,1
1040114,5,101.48,1
1053286,5,53.25,1
1050284,5,1.99,1
1053299,5,28.78,1
1054644,5,70.28,1
1047203,5,18.93,1
1045771,2,68.67,0
1052519,2,20.52,0
1056309,4,55.91,1
1051893,5,107.99,1
1050174,2,38.63,0
1061471,5,5.02,1
1051517,5,5.08,1
1054803,5,64.43,1
1001379,4,78.83,1
1046621,1,23.16,0
1054940,2,67.19,0
1052999,5,89.79,1
1030351,4,27.42,1
1054760,4,91.35,1
1021966,2,42.99,0
1057096,2,66.2,0
1060281,5,53.44,1
1056626,5,91.54,1
1003799,4,62.71,1
1044373,4,21.9,1
1047638,4,92.63,1
1058731,4,30.4,1
1050173,5,95.89,1
1056392,5,97.0,1
1051087,5,81.18,1
1053861,5,94.25,1
1052962,4,114.33,1
1051898,3,36.07,0
1034822,2,33.35,0
1062198,5,63.54,1
1057365,2,97.65,0
1058406,4,57.86,1
1057289,5,49.02,1
1056334,2,18.56,0
1051792,5,64.99,1
1058291,2,18.52,0
1052682,2,39.41,0
1059247,5,63.38,1
1049632,4,48.94,1
1058706,5,29.65,1
1053174,3,81.09,0
1049684,1,11.75,0
1060306,5,14.16,1
1055342,5,74.69,1
1045135,5,67.96,1
1050662,5,89.61,1
1059118,4,14.89,1
1056778,5,56.44,1
1060751,4,61.93,1
1058944,5,80.6,1
1048564,4,79.97,1
1026536,1,23.38,0
1056015,5,56.96,1
1045209,5,64.5,1
1056154,4,56.96,1
1051489,3,79.8,0
1056851,1,12.33,0
100387,5,60.08,1
1047076,3,20.04,0
1054557,5,144.98,1
1056184,2,23.43,0
1060182,2,16.63,0
1053858,5,45.48,1
1042637,5,72.26,1
1027769,5,70.37,1
1051098,5,118.54,1
1060757,3,65.93,0
1046926,1,17.98,0
1001718,5,84.21,1
1049972,5,100.86,1
1050841,5,69.26,1
1041641,1,23.75,0
1002658,4,102.51,1
1055893,5,18.45,1
1055565,5,58.29,1
1007587,5,102.93,1
1061011,5,43.45,1
1051890,2,128.87,0
1052389,5,92.69,1
1038341,5,76.42,1
1052395,2,68.42,0
1058799,4,57.62,1
1060522,4,151.35,1
1059345,3,61.95,0
1057772,1,12.95,0
1009546,2,7.75,0
1062015,3,30.56,0
1052486,5,49.78,1
1049873,5,7.53,1
1056695,5,67.29,1
1051353,5,64.83,1
1048892,1,12.92,0
1057826,5,6.26,1
1057396,4,66.56,1
1052751,5,79.2,1
1052305,3,71.26,0
1050901,5,60.35,1
1059582,4,26.67,1
1050428,5,35.67,1
1051155,5,82.72,1
1057858,4,108.87,1
1053143,1,12.25,0
1060465,4,44.58,1
1021597,5,61.26,1
1044227,5,49.08,1
1047963,4,22.29,1
1043018,2,91.29,0
1061544,2,56.18,0
1050977,4,101.79,1
1057195,5,65.16,1
1051100,5,34.07,1
1048976,5,61.66,1
1061371,5,71.8,1
1052614,2,53.0,0
1047390,5,102.51,1
1054641,2,20.78,0
1061358,5,81.52,1
1050907,5,69.87,1
1058401,5,55.31,1
1054665,2,95.8,0
1049480,5,34.85,1
1016828,4,39.15,1
1040935,5,68.9,1
1051133,5,63.98,1
1053353,5,85.74,1
1052164,2,61.39,0
1054255,1,12.79,0
1000700,2,79.03,0
1056919,3,68.28,0
1055981,4,38.0,1
1055226,4,36.57,1
1056877,2,64.53,0
1050433,5,83.22,1
1055500,4,88.51,1
1054113,5,13.17,1
1055013,5,53.55,1
1056977,3,48.87,0
1045500,5,18.16,1
1055544,5,105.29,1
1052693,5,48.81,1
101197,4,64.02,1
1057819,3,74.51,0
1054720,2,14.2,0
1061052,5,70.87,1
1059681,5,94.69,1
1051794,4,60.64,1
1061533,2,21.23,0
1053786,2,80.99,0
1047361,1,2.8,0
1008771,3,55.39,0
1057913,5,81.02,1
1058729,3,31.76,0
1045775,5,47.8,1
1017766,2,53.08,0
1048144,4,38.84,1
1054220,3,92.1,0
1051261,5,54.44,1
1048260,5,83.56,1
1050142,4,68.93,1
1054104,5,42.8,1
1045855,5,44.26,1
1050335,5,67.29,1
1051737,5,77.72,1
1061803,5,73.69,1
1049366,2,73.97,0
1047401,5,88.12,1
1057762,4,46.21,1
1053201,2,35.73,0
1049117,2,109.42,0
1051496,5,43.61,1
1056242,5,54.99,1
1048543,4,120.0,1
1059756,5,58.99,1
1048090,5,42.27,1
1049072,2,128.21,0
1048862,4,57.37,1
1007490,4,46.27,1
1048471,3,74.58,0
1054588,5,62.81,1
1054237,4,96.23,1
1047482,2,65.79,0
1048104,1,15.98,0
1052399,5,90.79,1
1026285,5,119.65,1
1049445,4,22.89,1
1051919,5,71.98,1
1053970,2,27.45,0
1056230,3,58.58,0
1054363,2,61.93,0
1054752,2,25.01,0
1050812,4,54.07,1
1053514,2,81.73,0
1060624,5,89.13,1
1057827,5,72.1,1
1047245,1,4.91,0
1053770,5,92.56,1
1058166,2,29.56,0
1054583,2,96.99,0
1048957,3,73.52,0
1044360,5,92.13,1
1047078,5,69.39,1
1054198,4,84.85,1
1049063,5,26.77,1
1055381,5,40.97,1
1053226,3,63.32,0
1051390,5,45.26,1
1020091,5,89.23,1
1057373,2,37.61,0
1049272,5,57.31,1
1050330,2,105.27,0
101649,5,28.84,1
1060421,5,101.23,1
1021438,5,33.63,1
1050480,5,3.32,1
1041578,4,97.04,1
1047502,5,58.1,1
1057500,5,67.86,1
1023659,5,38.0,1
1057790,5,48.92,1
1059724,4,57.27,1
1049938,1,11.2,0
1048429,2,67.08,0
1005947,5,56.68,1
1048879,2,62.84,0
1059512,5,84.12,1
1053917,1,17.72,0
1055605,2,49.38,0
1050514,2,74.15,0
1053564,3,30.79,0
1058067,2,32.66,0
1056659,3,10.14,0
1041845,1,10.63,0
1048372,2,61.03,0
1059434,5,86.92,1
1042491,4,83.15,1
1055694,5,14.42,1
1051116,5,109.65,1
1046778,4,91.04,1
1052792,2,72.34,0
1048811,5,11.79,1
1055683,5,106.77,1
1042641,3,88.4,0
1059256,3,8.6,0
1051323,5,45.18,1
1052829,4,54.04,1
1060191,3,9.85,0
1060067,5,74.93,1
1053640,5,48.98,1
1057131,5,39.42,1
1047217,5,102.61,1
1042596,5,47.24,1
1049461,1,18.17,0
1042942,5,130.39,1
1057658,5,118.2,1
1050974,4,92.83,1
1044464,4,115.19,1
1052794,5,11.33,1
1046914,5,87.69,1
1054762,5,33.8,1
1020737,4,102.08,1
101577,4,56.93,1
1054521,2,136.62,0
1051660,5,41.21,1
1052798,5,109.07,1
1051894,2,55.0,0
1060740,3,150.67,0
1059695,5,70.7,1
1051143,5,24.5,1
1038344,4,57.24,1
1056380,3,14.85,0
1055848,5,11.78,1
1049705,5,88.92,1
1043044,2,67.08,0
1048131,5,112.69,1
1050213,3,72.13,0
1059728,5,63.96,1
1051884,1,14.76,0
1051994,2,63.73,0
1050787,4,74.1,1
1051149,5,60.71,1
1049591,3,76.23,0
1054353,5,88.31,1
1056716,5,111.83,1
1022059,4,55.34,1
1043705,5,71.64,1
1054945,4,53.47,1
1053028,2,62.51,0
1024550,2,11.02,0
1054473,3,39.06,0
1048220,2,17.94,0
1050381,2,78.77,0
1053454,4,47.91,1
1050935,1,8.7,0
1002729,2,37.99,0
1048478,5,102.41,1
101573,3,32.81,0
1002663,5,48.75,1
1055144,5,49.02,1
1049853,4,98.64,1
1059745,5,32.52,1
1057892,5,71.54,1
1041783,5,16.5,1
1045344,3,28.77,0
1059554,2,90.02,0
1056374,2,113.82,0
1055132,5,69.88,1
1038709,5,69.54,1
1048639,5,75.6,1
1051049,2,49.8,0
1058614,5,48.18,1
1051328,4,25.09,1
1022548,5,83.14,1
1043988,5,21.19,1
1056674,5,18.92,1
1054398,5,65.08,1
1048733,5,62.5,1
1042811,1,7.69,0
1049689,5,79.19,1
1055903,5,18.49,1
1057069,5,30.5,1
1045149,2,65.7,0
1052543,5,19.13,1
1050348,1,7.51,0
1057746,1,16.22,0
1006161,5,58.52,1
1056546,4,49.56,1
1056931,5,71.04,1
1029696,5,94.45,1
1040592,5,10.49,1
1051518,3,60.56,0
1032195,5,73.84,1
1051213,5,20.84,1
1045235,5,135.3,1
1047384,5,57.58,1
1054832,2,64.36,0
1054131,2,61.1,0
1054280,5,65.58,1
1009356,5,51.17,1
1045773,4,13.71,1
1060442,5,56.39,1
1046451,3,45.57,0
1048863,2,72.37,0
1050937,4,74.91,1
1062169,5,52.64,1
1053992,5,101.4,1
1056297,5,123.78,1
1049944,4,68.1,1
1061252,5,54.2,1
1060980,4,67.48,1
1051399,5,75.24,1
1053662,3,12.65,0
1055880,3,65.33,0
1055142,2,35.08,0
1053989,5,60.07,1
1047804,2,98.44,0
1048827,4,87.12,1
1033085,4,35.88,1
1027489,5,76.27,1
1012333,5,52.86,1
1060545,5,35.3,1
1057695,4,27.42,1
1051315,2,79.81,0
1061435,5,79.18,1
1049782,2,23.88,0
1056549,5,52.88,1
1061497,5,29.55,1
1053827,5,55.72,1
